CustomerID,Age,Gender,NPS,MembershipFlag
Customer1,23,Male,-62,Y
Customer2,23,Other,-32,Y
Customer3,72,Other,79,Y
Customer4,65,Male,-89,N
Customer5,21,Other,-18,N
Customer6,47,Female,74,N
Customer7,28,Male,-65,Y
Customer8,79,Male,25,N
Customer9,79,Female,-38,N
Customer10,47,Female,-25,Y
Customer11,48,Female,-19,N
Customer12,41,Other,-50,Y
Customer13,72,Male,-58,N
Customer14,26,Other,-67,N
Customer15,72,Female,-4,N
Customer16,20,Other,-52,N
Customer17,68,Female,45,N
Customer18,48,Other,24,Y
Customer19,57,Other,88,N
Customer20,54,Female,-44,Y
Customer21,53,Other,-8,N
Customer22,41,Male,8,Y
Customer23,48,Other,-96,N
Customer24,23,Other,-77,N
Customer25,19,Male,91,N
Customer26,37,Female,-42,N
Customer27,45,Male,-63,N
Customer28,28,Other,60,Y
Customer29,21,Female,-91,N
Customer30,32,Other,64,N
Customer31,23,Other,25,Y
Customer32,71,Male,-90,N
Customer33,66,Male,-77,N
Customer34,47,Female,-13,N
Customer35,73,Female,98,N
Customer36,55,Female,13,N
Customer37,68,Other,-80,Y
Customer38,79,Male,47,N
Customer39,74,Male,-91,Y
Customer40,19,Male,74,N
Customer41,32,Female,74,N
Customer42,28,Male,42,Y
Customer43,25,Male,71,N
Customer44,43,Male,89,N
Customer45,68,Female,33,Y
Customer46,62,Male,-35,N
Customer47,61,Female,21,N
Customer48,22,Male,31,Y
Customer49,23,Male,-78,Y
Customer50,43,Male,-88,N
Customer51,71,Female,58,N
Customer52,21,Female,-85,N
Customer53,36,Male,-60,Y
Customer54,37,Other,-100,Y
Customer55,50,Female,10,N
Customer56,37,Female,-89,N
Customer57,66,Male,18,N
Customer58,29,Other,83,Y
Customer59,64,Male,77,Y
Customer60,18,Female,-81,Y
Customer61,43,Female,93,N
Customer62,31,Male,-65,N
Customer63,55,Male,-22,N
Customer64,54,Other,65,Y
Customer65,79,Other,49,N
Customer66,28,Female,7,Y
Customer67,80,Other,88,N
Customer68,53,Other,77,Y
Customer69,30,Female,-5,N
Customer70,60,Female,-42,N
Customer71,20,Female,-81,Y
Customer72,50,Female,63,N
Customer73,23,Male,25,Y
Customer74,67,Female,-4,N
Customer75,73,Female,42,N
Customer76,27,Female,-39,N
Customer77,22,Other,30,Y
Customer78,40,Female,-8,N
Customer79,27,Male,-10,Y
Customer80,61,Male,32,N
Customer81,19,Female,22,N
Customer82,30,Male,83,Y
Customer83,57,Other,58,N
Customer84,19,Female,-15,N
Customer85,37,Male,62,Y
Customer86,18,Male,17,Y
Customer87,80,Female,98,N
Customer88,54,Male,97,Y
Customer89,26,Female,-75,Y
Customer90,34,Male,17,N
Customer91,26,Other,-100,Y
Customer92,28,Male,-94,Y
Customer93,32,Male,63,N
Customer94,41,Female,-25,Y
Customer95,55,Male,-14,Y
Customer96,72,Female,52,N
Customer97,52,Other,-7,N
Customer98,47,Female,86,Y
Customer99,48,Female,-40,N
Customer100,66,Male,-72,Y
Customer101,22,Other,-6,Y
Customer102,79,Female,-83,Y
Customer103,77,Male,-60,Y
Customer104,61,Male,46,N
Customer105,67,Female,31,N
Customer106,31,Male,92,Y
Customer107,70,Female,-60,N
Customer108,73,Female,22,Y
Customer109,28,Female,42,Y
Customer110,26,Other,81,N
Customer111,51,Female,91,N
Customer112,29,Male,99,Y
Customer113,52,Other,42,N
Customer114,52,Male,77,Y
Customer115,18,Other,-79,N
Customer116,57,Other,45,N
Customer117,39,Other,-21,Y
Customer118,77,Other,29,N
Customer119,46,Male,-65,N
Customer120,25,Female,-81,Y
Customer121,28,Male,43,Y
Customer122,58,Female,-34,Y
Customer123,54,Male,19,Y
Customer124,31,Other,57,Y
Customer125,77,Other,-46,Y
Customer126,47,Female,-35,N
Customer127,52,Female,-75,Y
Customer128,38,Male,84,Y
Customer129,54,Female,96,Y
Customer130,22,Male,29,N
Customer131,36,Female,-45,Y
Customer132,76,Female,89,Y
Customer133,31,Female,-67,N
Customer134,43,Other,-45,N
Customer135,79,Other,-46,Y
Customer136,21,Male,-81,N
