CampaignID,CampaignName,CampaignChannel
Campaign1,Southern role movie win her need stop peace technology.,Radio
Campaign2,Court attorney product significant world talk term herself law street class great prove.,TV
Campaign3,Participant commercial rock clear here writer.,Social Media
Campaign4,Detail food shoulder argue start source husband at tree note responsibility defense material.,YouTube
Campaign5,Central cause seat much section investment on gun young catch management.,Social Media
Campaign6,Technology check civil quite others his.,Email
Campaign7,You more wife team activity result race Mr environment political born itself law.,Email
Campaign8,Will seven medical blood personal success medical current hear.,Social Media
Campaign9,Much single morning a food affect upon these.,Social Media
Campaign10,Dream drive note bad rule staff within mouth call.,Radio
