OrderID,StoreID,Date,ProductID,CustomerID,PromotionID,CampaignID,OrderValue,DiscountValue
Order1,Store4,2021-10-18,Product473,Customer1789,Promo4,Campaign3,237.71,114.56
Order2,Store8,2023-08-02,Product1,Customer4648,Promo1,Campaign6,761.24,94.64
Order3,Store7,2022-01-06,Product416,Customer8822,Promo2,Campaign1,733.01,192.46
Order4,Store8,2022-06-14,Product469,Customer7305,Promo4,Campaign10,840.82,180.34
Order5,Store1,2022-11-23,Product365,Customer559,Promo3,Campaign3,933.6,159.52
Order6,Store7,2022-07-03,Product333,Customer9962,Promo5,Campaign7,315.18,11.4
Order7,Store2,2023-02-13,Product162,Customer7565,Promo4,Campaign2,861.0,80.41
Order8,Store7,2023-10-14,Product17,,Promo1,Campaign6,669.35,139.21
Order9,Store1,2022-02-23,Product243,Customer5221,Promo4,Campaign7,958.19,5.93
Order10,Store3,2021-12-27,Product439,Customer6128,Promo1,Campaign2,279.35,47.16
Order11,Store6,2023-07-09,Product367,Customer5070,Promo2,Campaign5,276.97,177.5
Order12,Store6,2022-07-21,Product19,Customer9031,Promo5,Campaign10,707.25,25.96
Order13,Store3,2022-12-19,Product330,Customer9402,Promo1,Campaign10,929.13,10.27
Order14,Store3,2022-12-28,Product426,Customer9041,Promo4,Campaign1,826.31,116.12
Order15,Store8,2022-01-02,Product59,Customer3645,Promo2,Campaign3,729.77,189.29
Order16,Store8,2022-02-06,Product201,Customer7951,Promo3,Campaign1,393.44,166.92
Order17,Store1,2021-04-13,Product115,Customer4232,Promo4,Campaign3,720.59,194.95
Order18,Store8,2023-02-26,Product203,,Promo5,Campaign4,803.08,150.7
Order19,Store5,2021-11-21,Product294,Customer689,Promo2,Campaign5,755.75,87.47
Order20,Store5,2022-01-08,Product31,Customer472,Promo4,Campaign4,680.04,189.32
Order21,Store3,2021-12-04,Product194,Customer1272,Promo1,Campaign4,56.66,85.33
Order22,Store4,2023-06-10,Product472,Customer2530,Promo1,Campaign9,663.12,70.02
Order23,Store6,2023-11-23,Product106,Customer471,Promo1,Campaign9,483.51,89.64
Order24,Store2,2023-12-28,Product367,Customer896,Promo4,Campaign9,961.95,162.79
Order25,Store3,2023-09-24,Product453,Customer3826,Promo5,Campaign5,611.12,183.54
Order26,Store6,2021-02-01,Product306,Customer1248,Promo1,Campaign5,612.14,71.54
Order27,Store2,2023-07-16,Product126,,Promo4,Campaign2,994.11,92.45
Order28,Store7,2022-09-12,Product414,Customer674,Promo4,Campaign6,102.65,179.67
Order29,Store2,2023-05-28,Product103,,Promo5,Campaign2,283.55,9.41
Order30,Store3,2021-06-24,Product163,,Promo2,Campaign10,659.52,156.77
Order31,Store5,2021-01-15,Product315,Customer2605,Promo2,Campaign5,322.08,90.84
Order32,Store4,2023-12-11,Product121,Customer895,Promo4,Campaign5,352.69,75.3
Order33,Store6,2021-04-17,Product240,Customer1320,Promo2,Campaign4,893.72,89.38
Order34,Store3,2022-04-14,Product401,Customer6989,Promo3,Campaign5,583.56,83.74
Order35,Store2,2021-07-21,Product95,Customer7512,Promo5,Campaign7,111.84,151.32
Order36,Store8,2023-12-01,Product450,Customer3945,Promo4,Campaign10,317.75,185.59
Order37,Store6,2023-07-06,Product208,Customer3711,Promo2,Campaign2,85.3,98.29
Order38,Store1,2021-12-02,Product149,Customer6644,Promo2,Campaign1,560.57,166.55
Order39,Store7,2021-04-15,Product350,Customer3821,Promo5,Campaign4,181.54,146.39
Order40,Store8,2021-07-22,Product308,,Promo1,Campaign7,858.54,66.14
Order41,Store1,2021-03-06,Product193,Customer4783,Promo2,Campaign1,581.54,117.46
Order42,Store6,2022-07-07,Product142,Customer2748,Promo5,Campaign4,68.78,133.36
Order43,Store6,2021-08-12,Product272,Customer1825,Promo1,Campaign6,307.87,4.7
Order44,Store2,2022-01-15,Product311,Customer7897,Promo4,Campaign6,620.17,79.19
Order45,Store8,2021-09-12,Product393,Customer4084,Promo1,Campaign1,342.14,198.53
Order46,Store3,2021-06-20,Product497,Customer2360,Promo2,Campaign7,518.04,127.45
Order47,Store8,2022-09-05,Product392,Customer3448,Promo4,Campaign5,910.27,66.85
Order48,Store5,2022-10-14,Product201,Customer3849,Promo4,Campaign6,356.54,50.0
Order49,Store3,2022-12-19,Product162,Customer7823,Promo1,Campaign1,342.51,41.9
Order50,Store4,2023-04-12,Product109,Customer2184,Promo4,Campaign7,821.56,80.33
Order51,Store6,2023-03-30,Product417,Customer9161,Promo1,Campaign4,325.57,38.65
Order52,Store1,2021-03-14,Product470,Customer3812,Promo1,Campaign3,87.18,27.04
Order53,Store2,2023-12-20,Product350,Customer6104,Promo1,Campaign4,189.14,72.81
Order54,Store8,2022-03-31,Product263,Customer8186,Promo5,Campaign9,949.31,121.4
Order55,Store5,2021-12-02,Product210,Customer6796,Promo2,Campaign5,933.96,29.28
Order56,Store7,2022-10-30,Product149,Customer8278,Promo4,Campaign5,232.56,8.87
