VisitID,StoreID,Date,VisitCount,CampaignID
Visit1,Store4,2023-11-20,456,Campaign10
Visit2,Store5,2023-06-06,120,Campaign3
Visit3,Store4,2022-01-23,332,Campaign8
Visit4,Store4,2022-11-11,440,Campaign5
Visit5,Store3,2022-04-25,427,Campaign2
Visit6,Store3,2022-08-31,21,Campaign1
Visit7,Store2,2021-05-15,36,Campaign8
Visit8,Store2,2023-11-28,462,Campaign2
Visit9,Store6,2021-10-15,114,Campaign3
Visit10,Store3,2023-12-29,95,Campaign9
Visit11,Store8,2023-01-16,461,Campaign1
Visit12,Store8,2023-12-27,382,Campaign8
Visit13,Store7,2021-07-11,165,Campaign2
Visit14,Store2,2022-02-05,208,Campaign8
Visit15,Store6,2023-06-28,438,Campaign2
Visit16,Store8,2022-10-20,491,Campaign7
Visit17,Store1,2023-11-04,395,Campaign3
Visit18,Store5,2022-04-14,146,Campaign4
Visit19,Store1,2023-06-12,472,Campaign1
Visit20,Store5,2021-06-03,40,Campaign10
Visit21,Store6,2023-08-15,173,Campaign1
Visit22,Store3,2022-11-10,122,Campaign10
Visit23,Store7,2022-11-28,370,Campaign8
Visit24,Store1,2021-11-02,280,Campaign8
Visit25,Store7,2021-12-20,362,Campaign2
Visit26,Store4,2023-06-26,455,Campaign4
Visit27,Store1,2023-03-09,296,Campaign2
Visit28,Store2,2022-11-25,420,Campaign8
Visit29,Store1,2023-05-04,267,Campaign7
Visit30,Store8,2021-07-11,210,Campaign7
Visit31,Store3,2022-08-16,308,Campaign10
Visit32,Store3,2023-06-24,380,Campaign3
Visit33,Store7,2023-08-26,388,Campaign5
Visit34,Store2,2023-10-17,10,Campaign1
Visit35,Store5,2023-06-17,220,Campaign10
Visit36,Store2,2023-03-27,274,Campaign4
Visit37,Store8,2022-07-21,197,Campaign4
Visit38,Store6,2023-12-27,395,Campaign1
Visit39,Store5,2022-09-19,366,Campaign7
Visit40,Store3,2021-04-22,250,Campaign5
Visit41,Store7,2022-11-02,451,Campaign1
Visit42,Store7,2021-01-26,202,Campaign5
Visit43,Store3,2023-09-28,119,Campaign8
Visit44,Store6,2022-09-14,405,Campaign10
Visit45,Store5,2023-12-26,448,Campaign8
Visit46,Store1,2022-12-18,483,Campaign2
Visit47,Store1,2022-09-05,403,Campaign1
Visit48,Store2,2023-10-22,120,Campaign2
Visit49,Store7,2022-08-05,74,Campaign6
Visit50,Store3,2022-04-04,74,Campaign5
Visit51,Store1,2022-01-04,326,Campaign4
Visit52,Store3,2022-12-28,244,Campaign8
Visit53,Store2,2021-05-22,104,Campaign5
Visit54,Store4,2021-01-14,468,Campaign4
Visit55,Store3,2022-12-12,206,Campaign8
Visit56,Store8,2022-06-15,300,Campaign1
Visit57,Store8,2023-04-07,404,Campaign9
Visit58,Store4,2023-04-11,205,Campaign2
Visit59,Store7,2022-03-14,47,Campaign8
Visit60,Store8,2022-01-18,379,Campaign9
Visit61,Store3,2023-07-04,48,Campaign10
Visit62,Store5,2023-03-16,158,Campaign8
Visit63,Store6,2023-08-31,385,Campaign9
Visit64,Store8,2023-08-09,173,Campaign4
Visit65,Store4,2022-02-09,375,Campaign2
Visit66,Store5,2023-10-18,229,Campaign3
Visit67,Store6,2023-06-05,465,Campaign8
Visit68,Store5,2023-08-25,285,Campaign5
Visit69,Store2,2021-03-20,52,Campaign4
Visit70,Store8,2021-11-05,247,Campaign3
Visit71,Store2,2022-12-28,414,Campaign3
Visit72,Store1,2023-11-23,172,Campaign10
Visit73,Store4,2023-06-09,329,Campaign10
Visit74,Store1,2022-12-14,116,Campaign7
Visit75,Store8,2023-08-09,297,Campaign8
Visit76,Store7,2022-04-15,301,Campaign5
Visit77,Store4,2022-07-19,114,Campaign8
